Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
3,23229E+11;;;;Топы и футболки;Футболка Everrever;;;https://static.tildacdn.com/stor6666-3537-4663-b638-396635366238/36795430.jpg;;;;;;tNo24GyR1ACLURTHmRbp;;;oversize;95% бамбук, 5% лайкра;0;0;0;0
8,90347E+11;;RE-TS-BRB-01;;;Футболка Everrever / oversize- oversize;;;;6000.00;;;Размеры:oversize;;vNjUkCcOfGVja5gKk3jR;3,23229E+11;;;;0;0;0;0
6,22944E+11;;;;"Леггинсы и велосипедки;test";Велосипедки everrever;;;https://static.tildacdn.com/stor3335-3538-4131-b135-363836386263/68288892.jpg;;;;;;ml8Noy2PVCNXcP7mdIMF;;;;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
2,03628E+11;;RE-CYC-PINB-01;;;Велосипедки everrever / XS- XS;;;;4299.00;1;;Размеры:XS;;trrgMnVcUAfAIDJJPUra;6,22944E+11;;;;0;0;0;0
7,30882E+11;;RE-CYC-PINB-02;;;Велосипедки everrever / S- S;;;;4299.00;0;;Размеры:S;;XRt3TGEElDXYIFmP7j41;6,22944E+11;;;;0;0;0;0
9,95702E+11;;RE-CYC-PINB-03;;;Велосипедки everrever / M- M;;;;4299.00;1;;Размеры:M;;z3J9NttCGPbev98Odbfg;6,22944E+11;;;;0;0;0;0
9,08783E+11;;;;Леггинсы и велосипедки;Велосипедки everrever;;;https://static.tildacdn.com/stor6664-3938-4564-a135-653366343730/98237564.jpg;;;;;;u9egiNLzBvSC48gNF5N8;;черно-розовый;;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
2,65926E+11;;RE-CYC-BLPN-01;;;Велосипедки everrever / XS- XS;;;;4299.00;0;;Размеры:XS;;Bm6f0ti8MnhHN1kCbvta;9,08783E+11;;;;0;0;0;0
1,22472E+11;;RE-CYC-BLPN-02;;;Велосипедки everrever / S- S;;;;4299.00;3;;Размеры:S;;KGHRpat6b8NJ9HiBHl8A;9,08783E+11;;;;0;0;0;0
4,8465E+11;;RE-CYC-BLPN-03;;;Велосипедки everrever / M- M;;;;4299.00;1;;Размеры:M;;oASp7FrGbIM6YaYiedu0;9,08783E+11;;;;0;0;0;0
